Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086071,2013,01,01,25.3,1,Y
IDCJAC0010,086071,2013,01,02,22.2,1,Y
IDCJAC0010,086071,2013,01,03,37.1,1,Y
IDCJAC0010,086071,2013,01,04,41.1,1,Y
IDCJAC0010,086071,2013,01,05,25.7,1,Y
IDCJAC0010,086071,2013,01,06,25.7,1,Y
IDCJAC0010,086071,2013,01,07,30.3,1,Y
IDCJAC0010,086071,2013,01,08,30.3,1,Y
IDCJAC0010,086071,2013,01,09,21,1,Y
IDCJAC0010,086071,2013,01,10,27.2,1,Y
IDCJAC0010,086071,2013,01,11,39.4,1,Y
IDCJAC0010,086071,2013,01,12,24.1,1,Y
IDCJAC0010,086071,2013,01,13,20.8,1,Y
IDCJAC0010,086071,2013,01,14,21.8,1,Y
IDCJAC0010,086071,2013,01,15,27.7,1,Y
IDCJAC0010,086071,2013,01,16,25.5,1,Y
IDCJAC0010,086071,2013,01,17,40.8,1,Y
IDCJAC0010,086071,2013,01,18,25.9,1,Y
IDCJAC0010,086071,2013,01,19,23,1,Y
IDCJAC0010,086071,2013,01,20,25,1,Y
IDCJAC0010,086071,2013,01,21,25.7,1,Y
IDCJAC0010,086071,2013,01,22,26.3,1,Y
IDCJAC0010,086071,2013,01,23,24.6,1,Y
IDCJAC0010,086071,2013,01,24,36.6,1,Y
IDCJAC0010,086071,2013,01,25,27.4,1,Y
IDCJAC0010,086071,2013,01,26,21.7,1,Y
IDCJAC0010,086071,2013,01,27,24.1,1,Y
IDCJAC0010,086071,2013,01,28,24.4,1,Y
IDCJAC0010,086071,2013,01,29,21.7,1,Y
IDCJAC0010,086071,2013,01,30,29.1,1,Y
IDCJAC0010,086071,2013,01,31,24.7,1,Y
IDCJAC0010,086071,2013,02,01,21.1,1,Y
IDCJAC0010,086071,2013,02,02,21.8,1,Y
IDCJAC0010,086071,2013,02,03,26.1,1,Y
IDCJAC0010,086071,2013,02,04,22.7,1,Y
IDCJAC0010,086071,2013,02,05,28.9,1,Y
IDCJAC0010,086071,2013,02,06,37.2,1,Y
IDCJAC0010,086071,2013,02,07,30.9,1,Y
IDCJAC0010,086071,2013,02,08,30,1,Y
IDCJAC0010,086071,2013,02,09,30.2,1,Y
IDCJAC0010,086071,2013,02,10,23.5,1,Y
IDCJAC0010,086071,2013,02,11,25.7,1,Y
IDCJAC0010,086071,2013,02,12,26,1,Y
IDCJAC0010,086071,2013,02,13,32.7,1,Y
IDCJAC0010,086071,2013,02,14,33,1,Y
IDCJAC0010,086071,2013,02,15,31.4,1,Y
IDCJAC0010,086071,2013,02,16,35.4,1,Y
IDCJAC0010,086071,2013,02,17,35.7,1,Y
IDCJAC0010,086071,2013,02,18,36.7,1,Y
IDCJAC0010,086071,2013,02,19,21,1,Y
IDCJAC0010,086071,2013,02,20,29.5,1,Y
IDCJAC0010,086071,2013,02,21,31.8,1,Y
IDCJAC0010,086071,2013,02,22,32.6,1,Y
IDCJAC0010,086071,2013,02,23,32.1,1,Y
IDCJAC0010,086071,2013,02,24,34.3,1,Y
IDCJAC0010,086071,2013,02,25,29.7,1,Y
IDCJAC0010,086071,2013,02,26,27.5,1,Y
IDCJAC0010,086071,2013,02,27,27.6,1,Y
IDCJAC0010,086071,2013,02,28,21.4,1,Y
IDCJAC0010,086071,2013,03,01,25.1,1,Y
IDCJAC0010,086071,2013,03,02,26.9,1,Y
IDCJAC0010,086071,2013,03,03,29.1,1,Y
IDCJAC0010,086071,2013,03,04,32.7,1,Y
IDCJAC0010,086071,2013,03,05,33.6,1,Y
IDCJAC0010,086071,2013,03,06,33.8,1,Y
IDCJAC0010,086071,2013,03,07,35.5,1,Y
IDCJAC0010,086071,2013,03,08,33,1,Y
IDCJAC0010,086071,2013,03,09,35.8,1,Y
IDCJAC0010,086071,2013,03,10,35.4,1,Y
IDCJAC0010,086071,2013,03,11,37.1,1,Y
IDCJAC0010,086071,2013,03,12,36.2,1,Y
IDCJAC0010,086071,2013,03,13,27.2,1,Y
IDCJAC0010,086071,2013,03,14,24.2,1,Y
IDCJAC0010,086071,2013,03,15,23.9,1,Y
IDCJAC0010,086071,2013,03,16,23,1,Y
IDCJAC0010,086071,2013,03,17,19.9,1,Y
IDCJAC0010,086071,2013,03,18,21.9,1,Y
IDCJAC0010,086071,2013,03,19,24,1,Y
IDCJAC0010,086071,2013,03,20,28.8,1,Y
IDCJAC0010,086071,2013,03,21,23.8,1,Y
IDCJAC0010,086071,2013,03,22,20.5,1,Y
IDCJAC0010,086071,2013,03,23,24.2,1,Y
IDCJAC0010,086071,2013,03,24,25.7,1,Y
IDCJAC0010,086071,2013,03,25,23.8,1,Y
IDCJAC0010,086071,2013,03,26,31.4,1,Y
IDCJAC0010,086071,2013,03,27,35.6,1,Y
IDCJAC0010,086071,2013,03,28,22.3,1,Y
IDCJAC0010,086071,2013,03,29,18.5,1,Y
IDCJAC0010,086071,2013,03,30,22.4,1,Y
IDCJAC0010,086071,2013,03,31,19.2,1,Y
IDCJAC0010,086071,2013,04,01,20.1,1,N
IDCJAC0010,086071,2013,04,02,19.9,1,N
IDCJAC0010,086071,2013,04,03,17.8,1,N
IDCJAC0010,086071,2013,04,04,21,1,N
IDCJAC0010,086071,2013,04,05,25.2,1,N
IDCJAC0010,086071,2013,04,06,28.2,1,N
IDCJAC0010,086071,2013,04,07,27.4,1,N
IDCJAC0010,086071,2013,04,08,23.3,1,N
IDCJAC0010,086071,2013,04,09,23.5,1,N
IDCJAC0010,086071,2013,04,10,24.8,1,N
IDCJAC0010,086071,2013,04,11,18.4,1,N
IDCJAC0010,086071,2013,04,12,25.1,1,N
IDCJAC0010,086071,2013,04,13,24.3,1,N
IDCJAC0010,086071,2013,04,14,22.5,1,N
IDCJAC0010,086071,2013,04,15,16,1,N
IDCJAC0010,086071,2013,04,16,20.2,1,N
IDCJAC0010,086071,2013,04,17,19.3,1,N
IDCJAC0010,086071,2013,04,18,18.5,1,N
IDCJAC0010,086071,2013,04,19,18.4,1,N
IDCJAC0010,086071,2013,04,20,19,1,N
IDCJAC0010,086071,2013,04,21,20.7,1,N
IDCJAC0010,086071,2013,04,22,17.2,1,N
IDCJAC0010,086071,2013,04,23,19.7,1,N
IDCJAC0010,086071,2013,04,24,20.9,1,N
IDCJAC0010,086071,2013,04,25,21.2,1,N
IDCJAC0010,086071,2013,04,26,23.6,1,N
IDCJAC0010,086071,2013,04,27,24.5,1,N
IDCJAC0010,086071,2013,04,28,19.5,1,N
IDCJAC0010,086071,2013,04,29,18.4,1,N
IDCJAC0010,086071,2013,04,30,19.3,1,N
IDCJAC0010,086071,2013,05,01,16.5,1,Y
IDCJAC0010,086071,2013,05,02,18.3,1,Y
IDCJAC0010,086071,2013,05,03,19,1,Y
IDCJAC0010,086071,2013,05,04,17.1,1,Y
IDCJAC0010,086071,2013,05,05,15.1,1,Y
IDCJAC0010,086071,2013,05,06,19,1,Y
IDCJAC0010,086071,2013,05,07,20.2,1,Y
IDCJAC0010,086071,2013,05,08,23,1,Y
IDCJAC0010,086071,2013,05,09,25.5,1,Y
IDCJAC0010,086071,2013,05,10,25.1,1,Y
IDCJAC0010,086071,2013,05,11,24.9,1,Y
IDCJAC0010,086071,2013,05,12,22.1,1,Y
IDCJAC0010,086071,2013,05,13,17,1,Y
IDCJAC0010,086071,2013,05,14,13.6,1,Y
IDCJAC0010,086071,2013,05,15,16.1,1,Y
IDCJAC0010,086071,2013,05,16,16,1,Y
IDCJAC0010,086071,2013,05,17,16.4,1,Y
IDCJAC0010,086071,2013,05,18,15.3,1,Y
IDCJAC0010,086071,2013,05,19,17.3,1,Y
IDCJAC0010,086071,2013,05,20,13.9,1,Y
IDCJAC0010,086071,2013,05,21,17,1,Y
IDCJAC0010,086071,2013,05,22,15.4,1,Y
IDCJAC0010,086071,2013,05,23,17,1,Y
IDCJAC0010,086071,2013,05,24,16.7,1,Y
IDCJAC0010,086071,2013,05,25,19.1,1,Y
IDCJAC0010,086071,2013,05,26,16.3,1,Y
IDCJAC0010,086071,2013,05,27,15.7,1,Y
IDCJAC0010,086071,2013,05,28,18.3,1,Y
IDCJAC0010,086071,2013,05,29,18.9,1,Y
IDCJAC0010,086071,2013,05,30,15.7,1,Y
IDCJAC0010,086071,2013,05,31,18.6,1,Y
IDCJAC0010,086071,2013,06,01,16.3,1,Y
IDCJAC0010,086071,2013,06,02,17.8,1,Y
IDCJAC0010,086071,2013,06,03,15.8,1,Y
IDCJAC0010,086071,2013,06,04,15.3,1,Y
IDCJAC0010,086071,2013,06,05,14.2,1,Y
IDCJAC0010,086071,2013,06,06,17.3,1,Y
IDCJAC0010,086071,2013,06,07,15.9,1,Y
IDCJAC0010,086071,2013,06,08,16.1,1,Y
IDCJAC0010,086071,2013,06,09,14.3,1,Y
IDCJAC0010,086071,2013,06,10,16.4,1,Y
IDCJAC0010,086071,2013,06,11,14.9,1,Y
IDCJAC0010,086071,2013,06,12,13.5,1,Y
IDCJAC0010,086071,2013,06,13,13,1,Y
IDCJAC0010,086071,2013,06,14,15.6,1,Y
IDCJAC0010,086071,2013,06,15,14.8,1,Y
IDCJAC0010,086071,2013,06,16,14.9,1,Y
IDCJAC0010,086071,2013,06,17,12.1,1,Y
IDCJAC0010,086071,2013,06,18,15.9,1,Y
IDCJAC0010,086071,2013,06,19,15,1,Y
IDCJAC0010,086071,2013,06,20,15.2,1,Y
IDCJAC0010,086071,2013,06,21,15.4,1,Y
IDCJAC0010,086071,2013,06,22,14.8,1,Y
IDCJAC0010,086071,2013,06,23,14.2,1,Y
IDCJAC0010,086071,2013,06,24,12.1,1,Y
IDCJAC0010,086071,2013,06,25,17.2,1,Y
IDCJAC0010,086071,2013,06,26,17.5,1,Y
IDCJAC0010,086071,2013,06,27,17.6,1,Y
IDCJAC0010,086071,2013,06,28,16.9,1,Y
IDCJAC0010,086071,2013,06,29,14.5,1,Y
IDCJAC0010,086071,2013,06,30,18.3,1,Y
IDCJAC0010,086071,2013,07,01,18.1,1,Y
IDCJAC0010,086071,2013,07,02,19.2,1,Y
IDCJAC0010,086071,2013,07,03,16,1,Y
IDCJAC0010,086071,2013,07,04,16.3,1,Y
IDCJAC0010,086071,2013,07,05,13.9,1,Y
IDCJAC0010,086071,2013,07,06,16.2,1,Y
IDCJAC0010,086071,2013,07,07,13.6,1,Y
IDCJAC0010,086071,2013,07,08,15.1,1,Y
IDCJAC0010,086071,2013,07,09,14.5,1,Y
IDCJAC0010,086071,2013,07,10,15.2,1,Y
IDCJAC0010,086071,2013,07,11,16,1,Y
IDCJAC0010,086071,2013,07,12,17.5,1,Y
IDCJAC0010,086071,2013,07,13,15.1,1,Y
IDCJAC0010,086071,2013,07,14,16.1,1,Y
IDCJAC0010,086071,2013,07,15,19.5,1,Y
IDCJAC0010,086071,2013,07,16,16.7,1,Y
IDCJAC0010,086071,2013,07,17,18.2,1,Y
IDCJAC0010,086071,2013,07,18,23.3,1,Y
IDCJAC0010,086071,2013,07,19,17,1,Y
IDCJAC0010,086071,2013,07,20,9.7,1,Y
IDCJAC0010,086071,2013,07,21,11.1,1,Y
IDCJAC0010,086071,2013,07,22,14.3,1,Y
IDCJAC0010,086071,2013,07,23,13.9,1,Y
IDCJAC0010,086071,2013,07,24,14.4,1,Y
IDCJAC0010,086071,2013,07,25,12.4,1,Y
IDCJAC0010,086071,2013,07,26,15.1,1,Y
IDCJAC0010,086071,2013,07,27,14.1,1,Y
IDCJAC0010,086071,2013,07,28,18.2,1,Y
IDCJAC0010,086071,2013,07,29,19.5,1,Y
IDCJAC0010,086071,2013,07,30,16.2,1,Y
IDCJAC0010,086071,2013,07,31,15.7,1,Y
IDCJAC0010,086071,2013,08,01,14.8,1,Y
IDCJAC0010,086071,2013,08,02,13.9,1,Y
IDCJAC0010,086071,2013,08,03,12.9,1,Y
IDCJAC0010,086071,2013,08,04,14.1,1,Y
IDCJAC0010,086071,2013,08,05,16.1,1,Y
IDCJAC0010,086071,2013,08,06,16.8,1,Y
IDCJAC0010,086071,2013,08,07,13.7,1,Y
IDCJAC0010,086071,2013,08,08,15.4,1,Y
IDCJAC0010,086071,2013,08,09,11.7,1,Y
IDCJAC0010,086071,2013,08,10,18.3,1,Y
IDCJAC0010,086071,2013,08,11,16.5,1,Y
IDCJAC0010,086071,2013,08,12,14.7,1,Y
IDCJAC0010,086071,2013,08,13,16.5,1,Y
IDCJAC0010,086071,2013,08,14,14.4,1,Y
IDCJAC0010,086071,2013,08,15,17.9,1,Y
IDCJAC0010,086071,2013,08,16,17.5,1,Y
IDCJAC0010,086071,2013,08,17,15.8,1,Y
IDCJAC0010,086071,2013,08,18,17.7,1,Y
IDCJAC0010,086071,2013,08,19,14,1,Y
IDCJAC0010,086071,2013,08,20,13.5,1,Y
IDCJAC0010,086071,2013,08,21,14.1,1,Y
IDCJAC0010,086071,2013,08,22,15.4,1,Y
IDCJAC0010,086071,2013,08,23,15.1,1,Y
IDCJAC0010,086071,2013,08,24,16.8,1,Y
IDCJAC0010,086071,2013,08,25,17.4,1,Y
IDCJAC0010,086071,2013,08,26,19.1,1,Y
IDCJAC0010,086071,2013,08,27,20.6,1,Y
IDCJAC0010,086071,2013,08,28,22.5,1,Y
IDCJAC0010,086071,2013,08,29,23.1,1,Y
IDCJAC0010,086071,2013,08,30,19.3,1,Y
IDCJAC0010,086071,2013,08,31,22.5,1,Y
IDCJAC0010,086071,2013,09,01,23.8,1,N
IDCJAC0010,086071,2013,09,02,21.2,1,N
IDCJAC0010,086071,2013,09,03,24.6,1,N
IDCJAC0010,086071,2013,09,04,23.9,1,N
IDCJAC0010,086071,2013,09,05,19.8,1,N
IDCJAC0010,086071,2013,09,06,15.3,1,N
IDCJAC0010,086071,2013,09,07,20.1,1,N
IDCJAC0010,086071,2013,09,08,18.3,1,N
IDCJAC0010,086071,2013,09,09,22.9,1,N
IDCJAC0010,086071,2013,09,10,17.2,1,N
IDCJAC0010,086071,2013,09,11,17.9,1,N
IDCJAC0010,086071,2013,09,12,16,1,N
IDCJAC0010,086071,2013,09,13,16,1,N
IDCJAC0010,086071,2013,09,14,19.2,1,N
IDCJAC0010,086071,2013,09,15,21.8,1,N
IDCJAC0010,086071,2013,09,16,16.7,1,N
IDCJAC0010,086071,2013,09,17,19.6,1,N
IDCJAC0010,086071,2013,09,18,20.1,1,N
IDCJAC0010,086071,2013,09,19,17.3,1,N
IDCJAC0010,086071,2013,09,20,18.4,1,N
IDCJAC0010,086071,2013,09,21,19.3,1,N
IDCJAC0010,086071,2013,09,22,21.2,1,N
IDCJAC0010,086071,2013,09,23,24,1,N
IDCJAC0010,086071,2013,09,24,24.6,1,N
IDCJAC0010,086071,2013,09,25,24.8,1,N
IDCJAC0010,086071,2013,09,26,16.2,1,N
IDCJAC0010,086071,2013,09,27,20.2,1,N
IDCJAC0010,086071,2013,09,28,16.4,1,N
IDCJAC0010,086071,2013,09,29,21.4,1,N
IDCJAC0010,086071,2013,09,30,23.7,1,N
IDCJAC0010,086071,2013,10,01,17.7,1,Y
IDCJAC0010,086071,2013,10,02,17.1,1,Y
IDCJAC0010,086071,2013,10,03,16.5,1,Y
IDCJAC0010,086071,2013,10,04,21.5,1,Y
IDCJAC0010,086071,2013,10,05,25.5,1,Y
IDCJAC0010,086071,2013,10,06,17.9,1,Y
IDCJAC0010,086071,2013,10,07,17.9,1,Y
IDCJAC0010,086071,2013,10,08,21.8,1,Y
IDCJAC0010,086071,2013,10,09,26.7,1,Y
IDCJAC0010,086071,2013,10,10,16.6,1,Y
IDCJAC0010,086071,2013,10,11,21.3,1,Y
IDCJAC0010,086071,2013,10,12,25.5,1,Y
IDCJAC0010,086071,2013,10,13,17.4,1,Y
IDCJAC0010,086071,2013,10,14,15,1,Y
IDCJAC0010,086071,2013,10,15,19.5,1,Y
IDCJAC0010,086071,2013,10,16,27.4,1,Y
IDCJAC0010,086071,2013,10,17,16,1,Y
IDCJAC0010,086071,2013,10,18,22.1,1,Y
IDCJAC0010,086071,2013,10,19,26.5,1,Y
IDCJAC0010,086071,2013,10,20,31.6,1,Y
IDCJAC0010,086071,2013,10,21,17.6,1,Y
IDCJAC0010,086071,2013,10,22,17.2,1,Y
IDCJAC0010,086071,2013,10,23,16.1,1,Y
IDCJAC0010,086071,2013,10,24,16,1,Y
IDCJAC0010,086071,2013,10,25,16.3,1,Y
IDCJAC0010,086071,2013,10,26,17.2,1,Y
IDCJAC0010,086071,2013,10,27,18.2,1,Y
IDCJAC0010,086071,2013,10,28,18.2,1,Y
IDCJAC0010,086071,2013,10,29,18.4,1,Y
IDCJAC0010,086071,2013,10,30,19.9,1,Y
IDCJAC0010,086071,2013,10,31,18.4,1,Y
IDCJAC0010,086071,2013,11,01,22.7,1,Y
IDCJAC0010,086071,2013,11,02,26.1,1,Y
IDCJAC0010,086071,2013,11,03,17.7,1,Y
IDCJAC0010,086071,2013,11,04,17.8,1,Y
IDCJAC0010,086071,2013,11,05,26,1,Y
IDCJAC0010,086071,2013,11,06,30.7,1,Y
IDCJAC0010,086071,2013,11,07,25.8,1,Y
IDCJAC0010,086071,2013,11,08,18.6,1,Y
IDCJAC0010,086071,2013,11,09,17.5,1,Y
IDCJAC0010,086071,2013,11,10,18.1,1,Y
IDCJAC0010,086071,2013,11,11,19.4,1,Y
IDCJAC0010,086071,2013,11,12,15.9,1,Y
IDCJAC0010,086071,2013,11,13,14.7,1,Y
IDCJAC0010,086071,2013,11,14,17.5,1,Y
IDCJAC0010,086071,2013,11,15,19,1,Y
IDCJAC0010,086071,2013,11,16,19,1,Y
IDCJAC0010,086071,2013,11,17,20.6,1,Y
IDCJAC0010,086071,2013,11,18,27.7,1,Y
IDCJAC0010,086071,2013,11,19,31.6,1,Y
IDCJAC0010,086071,2013,11,20,18.9,1,Y
IDCJAC0010,086071,2013,11,21,24.1,1,Y
IDCJAC0010,086071,2013,11,22,23,1,Y
IDCJAC0010,086071,2013,11,23,20.2,1,Y
IDCJAC0010,086071,2013,11,24,19.6,1,Y
IDCJAC0010,086071,2013,11,25,22.9,1,Y
IDCJAC0010,086071,2013,11,26,29.1,1,Y
IDCJAC0010,086071,2013,11,27,33.1,1,Y
IDCJAC0010,086071,2013,11,28,24.2,1,Y
IDCJAC0010,086071,2013,11,29,19.3,1,Y
IDCJAC0010,086071,2013,11,30,19.8,1,Y
IDCJAC0010,086071,2013,12,01,31,1,Y
IDCJAC0010,086071,2013,12,02,36,1,Y
IDCJAC0010,086071,2013,12,03,24.9,1,Y
IDCJAC0010,086071,2013,12,04,21,1,Y
IDCJAC0010,086071,2013,12,05,16.8,1,Y
IDCJAC0010,086071,2013,12,06,19.1,1,Y
IDCJAC0010,086071,2013,12,07,27.1,1,Y
IDCJAC0010,086071,2013,12,08,27.8,1,Y
IDCJAC0010,086071,2013,12,09,18.4,1,Y
IDCJAC0010,086071,2013,12,10,21,1,Y
IDCJAC0010,086071,2013,12,11,21.1,1,Y
IDCJAC0010,086071,2013,12,12,24,1,Y
IDCJAC0010,086071,2013,12,13,22.7,1,Y
IDCJAC0010,086071,2013,12,14,20,1,Y
IDCJAC0010,086071,2013,12,15,21.7,1,Y
IDCJAC0010,086071,2013,12,16,21.4,1,Y
IDCJAC0010,086071,2013,12,17,22.1,1,Y
IDCJAC0010,086071,2013,12,18,26.9,1,Y
IDCJAC0010,086071,2013,12,19,39.9,1,Y
IDCJAC0010,086071,2013,12,20,24.2,1,Y
IDCJAC0010,086071,2013,12,21,21.4,1,Y
IDCJAC0010,086071,2013,12,22,28.4,1,Y
IDCJAC0010,086071,2013,12,23,18.2,1,Y
IDCJAC0010,086071,2013,12,24,23.3,1,Y
IDCJAC0010,086071,2013,12,25,31.8,1,Y
IDCJAC0010,086071,2013,12,26,27.6,1,Y
IDCJAC0010,086071,2013,12,27,22.4,1,Y
IDCJAC0010,086071,2013,12,28,36.5,1,Y
IDCJAC0010,086071,2013,12,29,20.9,1,Y
IDCJAC0010,086071,2013,12,30,22.6,1,Y
IDCJAC0010,086071,2013,12,31,25.4,1,Y
